EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,
BSE,I,2,0,INDEX,null,BSEDSI,BSEDSI,BSE DSI,INDEX,X,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,23,0,INDEX,null,BSELVI,BSELVI,BSELVI,INDEX,X,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,301,0,INDEX,null,BHRT22,BHRT22,BSE Bharat 22 Index,INDEX,X,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,302,0,INDEX,null,GREENX,GREENX,BSE Greenex,INDEX,X,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,303,50,INDEX,null,BSEIPO,BSEIPO,BSE IPO,INDEX,X,1.0,,4.00000,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,304,0,INDEX,null,SMEIPO,SMEIPO,BSE SME IPO,INDEX,X,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,305,0,INDEX,null,CARBON,CARBON,CARBON,INDEX,X,1.0,,,,1.0000,NA,Y,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,307,0,INDEX,null,DFRGRI,DFRGRI,DFRGRI,INDEX,X,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,309,37,INDEX,null,SML250,SML250,BSE 250 Small Cap,INDEX,X,1.0,,6.00000,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,310,0,INDEX,null,SNXT50,SNXT50,Sensex Next 50 Index,INDEX,X,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,36,0,INDEX,null,BSEMOI,BSEMOI,BSE Momentum Index,INDEX,X,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
